"chamber","lat","lon"
"S1J1",39.7822222,84.3342778
"S1J2",39.7822778,84.33425
"T1J1",39.7816944,84.3343333
"T1J2",39.7815833,84.3346667
"T2J1",39.7815833,84.3343056
"T2J2",39.7816667,84.3339444
"T2J3",39.7814444,84.3341667
"T3J1",39.7814722,84.3334444
"T3J2",39.7815833,84.3335
"T3J3",39.7816111,84.3334167
"T4J1",39.7812778,84.33325
"T4J2",39.7811111,84.3333889
"T4J3",39.7812222,84.3336111
"T5J1",39.7813889,84.3326389
"T5J2",39.7813333,84.3327222
"T5J3",39.7813611,84.3326667
"U1J1",39.7802222,84.3326389
"U1J2",39.7801667,84.3327222
"U2J1",39.7801667,84.3331389
"U2J2",39.78025,84.3330833
"U3J1",39.7800833,84.3348611
"U3J2",39.7801944,84.3350278
"U4J1",39.7802222,84.3359722
"U4J2",39.7803333,84.3361667
"S2J1",39.782472,84.332806
"S2J2",39.782472,84.33275
"S2J3",39.782472,84.332806
"S2J4",39.782472,84.33275
"S3J1",39.781944,84.3325
"S3J2",39.782,84.3325
"S3J3",39.781944,84.3325
"S3J4",39.782,84.3325
